pathway_id,pathway_name,n_unique_linked_genes,minimum_required_genes,kept_for_modelling,exclusion_reason
ath00603,Glycosphingolipid biosynthesis,11,5,True,
ath00604,Glycosphingolipid biosynthesis,4,5,False,fewer_than_5_unique_linked_genes
ath00620,Pyruvate metabolism,97,5,True,
ath00630,Glyoxylate and dicarboxylate metabolism,81,5,True,
ath00640,Propanoate metabolism,42,5,True,
ath00650,Butanoate metabolism,20,5,True,
ath00660,C5-Branched dibasic acid metabolism,7,5,True,
ath00670,One carbon pool by folate,42,5,True,
ath00710,Carbon fixation by Calvin cycle,71,5,True,
ath00730,Thiamine metabolism,21,5,True,
ath00740,Riboflavin metabolism,20,5,True,
ath00750,Vitamin B6 metabolism,15,5,True,
ath00760,Nicotinate and nicotinamide metabolism,26,5,True,
ath00770,Pantothenate and CoA biosynthesis,34,5,True,
ath00780,Biotin metabolism,16,5,True,
ath00785,Lipoic acid metabolism,36,5,True,
ath00790,Folate biosynthesis,32,5,True,
ath00860,Porphyrin metabolism,57,5,True,
ath00900,Terpenoid backbone biosynthesis,61,5,True,
ath00901,Indole alkaloid biosynthesis,5,5,True,
ath00902,Monoterpenoid biosynthesis,7,5,True,
ath00904,Diterpenoid biosynthesis,25,5,True,
ath00905,Brassinosteroid biosynthesis,9,5,True,
ath00906,Carotenoid biosynthesis,32,5,True,
ath00908,Zeatin biosynthesis,32,5,True,
ath00909,Sesquiterpenoid and triterpenoid biosynthesis,23,5,True,
ath00910,Nitrogen metabolism,43,5,True,
ath00920,Sulfur metabolism,40,5,True,
ath00940,Phenylpropanoid biosynthesis,130,5,True,
ath00941,Flavonoid biosynthesis,25,5,True,
ath00942,Anthocyanin biosynthesis,2,5,False,fewer_than_5_unique_linked_genes
ath00944,Flavone and flavonol biosynthesis,4,5,False,fewer_than_5_unique_linked_genes
ath00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",9,5,True,
ath00950,Isoquinoline alkaloid biosynthesis,22,5,True,
ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",39,5,True,
ath00965,Betalain biosynthesis,2,5,False,fewer_than_5_unique_linked_genes
ath00966,Glucosinolate biosynthesis,26,5,True,
ath00970,Aminoacyl-tRNA biosynthesis,691,5,True,
ath00999,Biosynthesis of various plant secondary metabolites,70,5,True,
ath01040,Biosynthesis of unsaturated fatty acids,25,5,True,
ath01100,Metabolic pathways,2429,5,True,
ath01110,Biosynthesis of secondary metabolites,1374,5,True,
ath01200,Carbon metabolism,275,5,True,
ath01210,2-Oxocarboxylic acid metabolism,103,5,True,
ath01212,Fatty acid metabolism,70,5,True,
ath01230,Biosynthesis of amino acids,242,5,True,
ath01232,Nucleotide metabolism,84,5,True,
ath01240,Biosynthesis of cofactors,239,5,True,
ath01250,Biosynthesis of nucleotide sugars,101,5,True,
ath01310,Nitrogen cycle,3,5,False,fewer_than_5_unique_linked_genes
ath01320,Sulfur cycle,21,5,True,
ath02010,ABC transporters,68,5,True,
ath03008,Ribosome biogenesis in eukaryotes,98,5,True,
ath03010,Ribosome,386,5,True,
ath03013,Nucleocytoplasmic transport,105,5,True,
ath03015,mRNA surveillance pathway,119,5,True,
ath03018,RNA degradation,114,5,True,
ath03020,RNA polymerase,52,5,True,
ath03022,Basal transcription factors,55,5,True,
ath03030,DNA replication,43,5,True,
ath03040,Spliceosome,243,5,True,
ath03050,Proteasome,61,5,True,
ath03060,Protein export,62,5,True,
ath03082,ATP-dependent chromatin remodeling,64,5,True,
ath03083,Polycomb repressive complex,69,5,True,
ath03250,Viral life cycle,39,5,True,
ath03272,Virion,12,5,True,
ath03410,Base excision repair,50,5,True,
ath03420,Nucleotide excision repair,85,5,True,
ath03430,Mismatch repair,32,5,True,
ath03440,Homologous recombination,60,5,True,
ath03450,Non-homologous end-joining,8,5,True,
ath03460,Fanconi anemia pathway,46,5,True,
ath04016,MAPK signaling pathway,146,5,True,
ath04070,Phosphatidylinositol signaling system,79,5,True,
ath04075,Plant hormone signal transduction,433,5,True,
ath04081,Hormone signaling,8,5,True,
ath04082,Neuroactive ligand signaling,9,5,True,
ath04120,Ubiquitin mediated proteolysis,163,5,True,
ath04122,Sulfur relay system,13,5,True,
ath04130,SNARE interactions in vesicular transport,55,5,True,
ath04136,Autophagy,41,5,True,
ath04141,Protein processing in endoplasmic reticulum,223,5,True,
ath04142,Lysosome biogenesis,193,5,True,
ath04144,Endocytosis,156,5,True,
ath04145,Phagosome,87,5,True,
ath04146,Peroxisome,90,5,True,
ath04148,Efferocytosis,53,5,True,
ath04382,Cornified envelope formation,35,5,True,
ath04517,IgSF CAM signaling,50,5,True,
ath04518,Integrin signaling,14,5,True,
ath04519,Cadherin signaling,65,5,True,
ath04620,Toll-like receptor signaling pathway,15,5,True,
ath04626,Plant-pathogen interaction,216,5,True,
ath04712,Circadian rhythm,43,5,True,
ath04814,Motor proteins,82,5,True,
ath04820,Cytoskeleton in muscle cells,8,5,True,
ath04981,Folate transport and metabolism,40,5,True,
ath05100,Bacterial invasion of epithelial cells,26,5,True,
