go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0006406,26,5.6124437833204865e-05,True,0.011977059494641784,59,True
GO:0006412,959,0.0020743843633681536,True,0.035906591524348386,3,True
GO:0006413,53,3.992854544776492e-05,True,0.006095287612843281,170,False
GO:0006414,707,0.0014150741044431925,True,0.024338764621061548,7,True
GO:0006457,142,0.00025179897784255445,True,0.013341766608588879,44,True
GO:0006465,20,5.178271749173291e-05,True,0.0,407,False
GO:0006468,300,0.00028546134126372635,True,0.0,410,False
GO:0006470,38,0.00035913989995606244,True,0.003107443546511268,278,False
GO:0006486,55,0.00014086607552599162,True,0.0016444452665560494,316,False
GO:0006487,24,0.00024860576377250254,True,0.0,420,False
GO:0006499,45,0.00010288962948834524,True,0.006920211178501168,147,False
GO:0006508,129,0.0002586401242297143,True,0.005418535269806846,193,False
GO:0006511,305,0.0012517757713794708,True,0.0069882633681197515,143,False
GO:0006520,33,0.002837187610566616,True,0.006550402142385892,157,False
GO:0006606,41,0.0002499795809853822,True,0.006690888974093756,150,False
GO:0006612,34,6.057616701582447e-05,True,0.0,391,False
GO:0006623,38,5.729537951992825e-05,True,0.0032427819768006128,271,False
GO:0006629,90,0.00039719505002722144,True,0.0033144809294523014,263,False
GO:0006631,46,0.002302912063896656,True,0.004077418422783419,238,False
GO:0006633,55,0.0022184194531291723,True,0.0031279187769426287,276,False
GO:0006635,30,0.003028585109859705,True,0.0,512,False
GO:0006749,46,0.0004426109662745148,True,0.0,609,False
GO:0006813,25,3.849664790323004e-05,True,0.0062405882745562025,166,False
GO:0006816,35,8.780135249253362e-05,True,0.007644129899170737,124,False
GO:0006817,25,4.2223840864608064e-05,True,0.0,638,False
GO:0006833,28,1.8367409211350605e-05,False,,,False
GO:0006863,21,1.0815048881340772e-05,False,,,False
GO:0006869,68,0.00016754168609622866,True,0.0,639,False
GO:0006874,39,8.34742677398026e-05,True,0.0025658191744317715,294,False
GO:0006879,26,3.483652835711837e-05,False,,,False
GO:0006885,30,4.69573715236038e-05,True,0.012372449330033675,56,True
GO:0006886,151,0.0004188143939245492,True,0.007544831549450182,126,False
GO:0006887,52,8.705766231287271e-05,True,0.008995427546548918,105,False
GO:0006888,85,0.00012681132648140192,True,0.0,641,False
GO:0006890,35,5.591469744103961e-05,True,0.0,642,False
GO:0006891,34,4.3723881390178576e-05,True,0.0,643,False
GO:0006897,45,9.761766705196351e-05,True,0.0010494499650386402,340,False
GO:0006900,26,9.745587158249691e-05,True,0.002131256474538823,306,False
GO:0006906,39,0.0005100573180243373,True,0.0,644,False
GO:0006914,20,0.00011846892448375002,True,0.0,635,False
GO:0006950,72,0.00033765670377761126,True,0.004807499660259618,211,False
GO:0006952,312,0.0009000609861686826,True,0.0012397573006310836,334,False
GO:0006955,57,4.2125306208617985e-05,True,0.005852885231460325,180,False
GO:0006970,165,0.0010102662490680814,True,0.006073631566441584,173,False
GO:0006974,60,0.0002610465162433684,True,0.0,648,False
GO:0006979,244,0.0019778097048401833,True,0.0,649,False
GO:0006995,39,0.0002583539462648332,True,0.0,650,False
GO:0007005,47,7.991972961463034e-05,True,0.0,651,False
GO:0007015,48,0.003032718552276492,True,0.007293593584717595,135,False
GO:0007017,33,0.00021176460722927004,True,0.011468096758260549,66,False
GO:0007018,40,0.0002454571076668799,True,0.009290740122897212,101,False
GO:0007030,39,3.7634508771589026e-05,True,0.0,655,False
GO:0007031,21,3.6276345781516284e-05,False,,,False
GO:0007033,27,0.00013614955241791904,True,0.007265422255825271,136,False
GO:0007131,37,6.650021532550454e-05,True,0.0,634,False
GO:0007165,650,0.003936960361897945,True,0.013958953398449436,40,True
GO:0007166,56,8.086785965133458e-05,True,0.004580593309849501,219,False
GO:0007267,42,6.848667544545606e-05,True,0.0,611,False
GO:0007623,113,0.0008592232479713857,True,0.0,612,False
GO:0008017,166,0.0004258416884113103,True,0.006136224315964389,169,False
GO:0008047,26,0.00022357256966643035,True,0.0,614,False
GO:0008066,20,6.065644265618175e-05,True,0.0,615,False
GO:0008104,34,0.0001287570339627564,True,0.007242078430114152,137,False
GO:0008137,25,0.00028512580320239067,True,0.0,616,False
GO:0008139,20,7.885468221502379e-05,True,0.002235845920824042,301,False
GO:0008143,23,6.226344703463838e-05,True,0.0,617,False
GO:0008150,5951,0.01602853089570999,True,0.05060003755859688,1,True
GO:0008168,36,0.00033560662996023893,True,0.006712399743472375,149,False
GO:0008171,20,0.0007331018568947911,True,0.002391766076973445,296,False
GO:0008194,21,0.000563776702620089,True,0.0011129046541851206,338,False
GO:0008198,20,0.00010993242904078215,True,0.013572293866005447,43,True
GO:0008233,30,6.547934754053131e-05,True,0.0,620,False
GO:0008266,26,0.0002026289439527318,True,0.0,621,False
GO:0008270,445,0.004289337433874607,True,0.0,622,False
GO:0008284,27,5.1923540013376623e-05,True,0.0,623,False
GO:0008285,42,3.702093454194255e-05,True,0.0,624,False
GO:0008289,79,0.00011343332153046504,True,0.0,625,False
GO:0008320,31,2.4770355594228022e-05,False,,,False
GO:0008327,20,1.959972723852843e-05,False,,,False
GO:0008353,21,3.1975785532267764e-05,False,,,False
GO:0008374,33,0.0002867160947062075,True,0.011835336463443147,62,False
GO:0008380,76,0.00014049715537112206,True,0.0,627,False
GO:0008408,28,2.0559235053951852e-05,False,,,False
GO:0008422,60,0.0015224349917843938,True,0.0,628,False
GO:0008483,23,0.0010510921711102128,True,0.009322617340066452,98,False
GO:0008514,21,1.9651281036203727e-05,False,,,False
GO:0008757,84,0.0025870788376778364,True,0.008595217382451947,109,False
GO:0008810,29,2.39024684560718e-05,False,,,False
GO:0009055,85,0.00047629891196265817,True,0.010779061424976977,78,False
GO:0009058,54,0.0032990521285682917,True,0.0,630,False
GO:0009266,41,8.769480336923152e-05,True,0.017775281686447597,18,True
GO:0009269,24,9.928458894137293e-05,True,0.0,656,False
GO:0009294,26,6.238160858629271e-05,True,0.0,657,False
GO:0009407,46,0.0003978776512667537,True,0.0,658,False
