primary_model,comparison_model,metric,n_paired_folds,mean_primary_minus_comparison,sd_difference,descriptive_95pct_lower,descriptive_95pct_upper,note
Six-tree soft-voting ensemble,Logistic Regression,auroc,15,0.04221125995149232,0.023753974062831463,0.03019009048048467,0.05423242942249998,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,k-NN (k=7),brier,15,-0.04547002550585068,0.015831483712853454,-0.05348186168056037,-0.037458189331140986,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gaussian Naive Bayes,auroc,15,0.1257685512578413,0.03198325492284992,0.10958279107114396,0.14195431144453866,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gaussian Naive Bayes,auprc,15,0.13903940183747115,0.04325035547835367,0.11715170205673646,0.16092710161820584,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gaussian Naive Bayes,f1,15,0.06433985374425631,0.031806901494432493,0.048243340706023125,0.0804363667824895,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Gaussian Naive Bayes,brier,15,-0.1650549608239597,0.024620475522815342,-0.17751464053623434,-0.15259528111168508,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,MLP,auroc,15,0.10927478266998314,0.04116423850311975,0.08844280373954913,0.13010676160041715,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,MLP,auprc,15,0.10008489334183499,0.03543257914033928,0.0821535342558035,0.11801625242786647,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,MLP,f1,15,0.09663067307527223,0.03869313857453736,0.07704924325054618,0.11621210289999828,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,MLP,brier,15,-0.0556048093010054,0.017695999092452938,-0.06456022044553611,-0.04664939815647469,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Random Forest,auroc,15,0.0007678682126578629,0.011869912295591183,-0.005239136212533064,0.006774872637848791,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Random Forest,auprc,15,-0.003272326389975174,0.026217329452382903,-0.016540125689187165,0.009995472909236818,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Random Forest,f1,15,-0.0034132204049237115,0.012549639998545397,-0.009764214509051645,0.0029377736992042217,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Random Forest,brier,15,-0.003716304090974461,0.0047172104840720284,-0.006103541969968951,-0.0013290662119799712,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Extra Trees,auroc,15,0.01268771539912974,0.017398532206912194,0.0038828432689820332,0.02149258752927745,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Extra Trees,auprc,15,0.007653463921708492,0.022857041991302052,-0.003913795293806033,0.019220723137223016,Descriptive paired interval; no significance claim.
