go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0005694,30,5.630776286125183e-05,True,0.0035008537625629277,332,False
GO:0005730,464,0.0019814257975667715,True,0.01583356775103706,173,False
GO:0005732,64,1.6626987417112105e-05,False,,,False
GO:0005737,4796,0.059103988111019135,True,0.03678741488068327,26,True
GO:0005739,4447,0.03710299730300903,True,0.033490208875066374,36,True
GO:0005741,52,0.0003641159855760634,True,0.03717214376025901,25,True
GO:0005743,72,0.0001668930781306699,True,0.01479104315033597,187,False
GO:0005744,22,7.983661816979293e-06,False,,,False
GO:0005759,53,0.0005643807235173881,True,0.0295561709470884,52,True
GO:0005762,33,7.355874549830332e-05,True,0.0,430,False
GO:0005764,36,4.447580431587994e-05,True,0.0,431,False
GO:0005768,298,0.0016144082183018327,True,0.021992653809277174,104,False
GO:0005769,27,3.593212386476807e-05,True,0.012344120995194663,215,False
GO:0005770,41,6.196620233822614e-05,True,0.006501260558094302,288,False
GO:0005771,24,0.0004830086836591363,True,0.0,432,False
GO:0005773,297,0.0014814790338277817,True,0.024543202815303422,83,False
GO:0005774,78,0.00013120206131134182,True,0.0,433,False
GO:0005776,33,0.00016241810226347297,True,0.0026713569214527055,341,False
GO:0005777,312,0.008155053481459618,True,0.0,434,False
GO:0005778,31,7.101945811882615e-05,True,0.0,435,False
GO:0005783,920,0.010813729837536812,True,0.0371995727050618,24,True
GO:0005789,224,0.0022377236746251583,True,0.006018066941540834,298,False
GO:0005794,1050,0.00783776119351387,True,0.01756943069268413,153,False
GO:0005797,60,0.00021590293908957392,True,0.0,436,False
GO:0005802,295,0.00153795862570405,True,0.0249326927938196,80,True
GO:0005811,46,0.003154983976855874,True,0.00803985082906622,269,False
GO:0005819,45,0.0001927937555592507,True,0.03818077774656459,22,True
GO:0005829,2505,0.04952153190970421,True,0.03534664639833096,30,True
GO:0005839,21,0.00014834236935712397,True,0.0,437,False
GO:0005840,34,5.640356903313659e-05,True,0.0,438,False
GO:0005856,41,0.0020339491311460733,True,0.0,439,False
GO:0005871,26,3.620279676397331e-05,True,0.0,440,False
GO:0005874,107,0.00019723437435459346,True,0.008768349622249483,259,False
GO:0005876,23,1.5961915778461844e-05,False,,,False
GO:0005886,3072,0.01716323383152485,True,0.040484080862655425,18,True
GO:0005938,21,3.070582897635177e-05,True,0.00454320298124844,317,False
GO:0005975,262,0.0035375962033867836,True,0.008750940327559187,260,False
GO:0005992,22,0.0012700151419267058,True,0.0,441,False
GO:0006094,23,0.001970253884792328,True,0.0,442,False
GO:0006096,47,0.004824274219572544,True,0.009387630324767526,248,False
GO:0006099,34,0.004200824536383152,True,0.02581928016484758,75,True
GO:0006260,30,6.034106991137378e-05,True,0.007129137662851948,279,False
GO:0006270,20,2.0920062524965033e-05,True,0.0,443,False
GO:0006281,140,0.000919056183192879,True,0.0,444,False
GO:0006284,25,0.0003444486064836383,True,0.028646826749963994,61,True
GO:0006289,34,0.00027478302945382893,True,0.0052147215980691275,304,False
GO:0006302,25,0.0001233722286997363,True,0.0,445,False
GO:0006310,26,9.650491119828075e-05,True,0.003089827180279281,337,False
GO:0006325,21,3.156431557727046e-05,True,0.0,446,False
GO:0006334,29,5.269884240988176e-06,False,,,False
GO:0006338,80,0.00026233939570374787,True,0.017540566127638657,154,False
GO:0006351,71,0.0005409790901467204,True,0.0,447,False
GO:0006352,26,2.7954634788329713e-05,True,0.0,448,False
GO:0006355,1468,0.0018022203585132957,True,0.05593960291353417,7,True
GO:0006357,361,0.0003312840417493135,True,0.02357461860987886,90,False
GO:0006364,90,9.429751662537456e-05,True,0.0097431767072087,243,False
GO:0006366,30,0.00016411337128374726,True,0.007754358000786166,270,False
GO:0006367,25,1.6005098586902022e-05,False,,,False
GO:0006396,63,4.911064388579689e-05,True,0.006094254995939741,297,False
GO:0006397,77,3.3685941161820665e-05,True,0.013640439116084702,203,False
GO:0006400,31,0.0011825028341263533,True,0.007643228977676664,272,False
GO:0006402,23,2.3081000108504668e-05,True,0.0,449,False
GO:0006406,26,0.00013371183013077825,True,0.0,450,False
GO:0006412,959,0.0038858852349221706,True,0.052520744130853725,9,True
GO:0006413,53,8.138287375913933e-05,True,0.0,451,False
GO:0006414,707,0.002642933977767825,True,0.06420701569275566,4,True
GO:0006457,142,8.496543159708381e-05,True,0.0,452,False
GO:0006465,20,6.499356823042035e-05,True,0.0,453,False
GO:0006468,300,0.00023990144836716354,True,0.020755654788757738,121,False
GO:0006470,38,0.0003783066349569708,True,0.0,454,False
GO:0006486,55,0.0020540249533951283,True,0.008484580145325937,263,False
GO:0006487,24,0.0005380792426876724,True,0.01988531994837417,126,False
GO:0006499,45,8.08725380920805e-05,True,0.0,455,False
GO:0006508,129,0.00015162417548708618,True,0.0,456,False
GO:0006511,305,0.0013159457594156265,True,0.014910638757126948,185,False
GO:0006520,33,0.0032752787228673697,True,0.0,457,False
GO:0006606,41,0.0002656924189068377,True,0.019922613689114854,125,False
GO:0006612,34,1.0882220522034913e-05,False,,,False
GO:0006623,38,1.5969435480656102e-05,False,,,False
GO:0006629,90,0.0019486151868477464,True,0.0,458,False
GO:0006631,46,0.002908736001700163,True,0.029266674806501358,54,True
GO:0006633,55,0.003194365883246064,True,0.0,459,False
GO:0006635,30,0.002154843183234334,True,0.0,460,False
GO:0006749,46,0.001690450357273221,True,0.021854499413777928,106,False
GO:0006813,25,6.986989319557324e-06,False,,,False
GO:0006816,35,7.96562835603254e-06,False,,,False
GO:0006817,25,3.9387082324537914e-06,False,,,False
GO:0006833,28,2.2519607227877714e-06,False,,,False
GO:0006863,21,4.570864803099539e-06,False,,,False
GO:0006869,68,6.530708924401551e-05,True,0.0,461,False
GO:0006874,39,1.2304623851377983e-05,False,,,False
GO:0006879,26,2.1633069991366938e-05,True,0.009125133241653538,252,False
GO:0006885,30,1.1343693586240988e-05,False,,,False
GO:0006886,151,0.00031898386077955365,True,0.0,462,False
GO:0006887,52,9.843683073995635e-05,True,0.01585949824223465,172,False
GO:0006888,85,0.00010835046850843355,True,0.03185728237877172,43,True
GO:0006890,35,4.5537239202531055e-05,True,5.58942563710918e-05,378,False
GO:0006891,34,1.4596420442103408e-05,False,,,False
GO:0006897,45,6.305697024799883e-05,True,0.019990649622774637,124,False
GO:0006900,26,9.649449930293486e-05,True,0.027733221164245814,65,True
