ratio,model,ratio_value,repeat_index,repeat_seed,fold_index,n_train_positive,n_train_negative,n_validation_positive,n_validation_negative,positive_prevalence,random_auprc_baseline,auroc,raw_auprc,normalized_auprc,f1,precision,recall,brier,scale_pos_weight,class_weight,train_negative_seed,validation_negative_seed,feature_selection_seed,model_seed,selected_go_sha256,train_records_sha256,validation_records_sha256,elapsed_s
1:1,Random Forest,1,2,13,0,327,327,82,82,0.5,0.5,0.8450327186198692,0.8253335971056242,0.6506671942112483,0.8,0.7184466019417476,0.9024390243902439,0.15640115597207258,,balanced,4197323642,3493101560,3288021756,261167866,9b73517e58eb8ba0bc638627177cb05554c3e37ec35c51dddb15f6948ee26efd,c32c0830de98179691d483e4bd16e96a7012503416cf7c5cb518aa73354726c5,dd03cf03ac7cd26fa9d46f8eb6dccbdb0da15e795c1a668e5846cf19a35471e5,0.40172791481018066
1:1,Random Forest,1,2,13,1,327,327,82,82,0.5,0.5,0.8148423557406306,0.7640173332249602,0.5280346664499205,0.7717391304347826,0.696078431372549,0.8658536585365854,0.16791663281150676,,balanced,3966191544,1903504230,667876274,3411050692,b684ea62f4f42114312136c66e5fc274b7cdacfddc1241c2ce12e887dcacf769,618241230c15e0051e7d5cd6e15b8cb3d5f5dcb755f877ce96d14461fc9092ff,8fddf42f5b799d421f6cf75cb21b504e783650587e7cf896b2e457fc367fd5f1,0.4104149341583252
1:1,Random Forest,1,2,13,2,327,327,82,82,0.5,0.5,0.8567816775728733,0.7951993060530805,0.5903986121061611,0.806282722513089,0.7064220183486238,0.9390243902439024,0.15333888500107598,,balanced,1319135375,2081672424,66402786,1633975599,ac8146237297375e1e17df069ef0bc4d10251551f48a864f205aa481cb0be3ef,361956c25a3092096f7dd9e26d21f52d379ce291171191a70b0fe88e35b120db,4de770fe3d9d10d0c84663725a69efe70ff007a9742e66dcd731d1a32a817de0,0.42180585861206055
1:1,Random Forest,1,2,13,3,327,327,82,82,0.5,0.5,0.8526174895895301,0.7818058824678378,0.5636117649356756,0.8235294117647058,0.7333333333333333,0.9390243902439024,0.15731087934768842,,balanced,2293279620,3028097891,2933952375,4053831653,2e9654b3bae28b7f5cdb28ee62939918e683645949003400c88cb9e84776ca80,2f5fe7fdfc0b66e83d5a7e7e149d13d4024df5883b4e4159c8f2a3c735d60b8c,aef9953502474bbf497aa3388b535c8ec4609429a2522121822c5c0c34653723,0.4227430820465088
1:1,Random Forest,1,2,13,4,328,328,81,81,0.5,0.5,0.8605395518975766,0.7949422216786473,0.5898844433572945,0.8351648351648352,0.7524752475247525,0.9382716049382716,0.14696646771078573,,balanced,3410040530,245057234,532155413,762879727,62120243085934ba40e34cb6a3184f737b6f28629b754affa403879b5678f746,348f735c69e08433061e41b7518fed4c20a71b7ef810663a9c109ccdfdbb44a2,72a254a5f2a4aedd3af3d81a6ee63c3deb805b1a506f8b1e45d264b1c89dd06e,0.4102447032928467
1:2,Random Forest,2,0,42,0,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8062165377751338,0.5996168777369886,0.39942531660548286,0.6428571428571429,0.5526315789473685,0.7682926829268293,0.16768974863408087,,balanced,3843021437,3211266498,2459361335,3355846983,94c0732d51c3072659a01a373df677b062f832b04ac7c55e25f54ecdcfdc502c,14a1419c9beba3adf9979d9e073bc3d02a43b8b8aed82603efedfd2d561cea8a,34c214e5565db6004185cbbe7ae8a82e1416680ab9c0aaac43d0bd35c647c290,0.5155529975891113
1:2,Random Forest,2,0,42,1,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8407941701368233,0.677614102629975,0.5164211539449625,0.7021276595744681,0.6226415094339622,0.8048780487804879,0.15226650542437417,,balanced,456126881,1334802877,2691260395,3979337658,47a3d4cea0aa610efef968fb529fd67dc2c57aac23a33f9c4e1dd1ba44aed2e7,fcf4182b76cc18ac1710600cd6ee0b4714cd51d1f66f8d17e132a3571a8b1b5c,d03a0590117acb83851d2086042ebce12860fec74cc358dc366bb243cca030a5,0.5064210891723633
1:2,Random Forest,2,0,42,2,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8296400951814397,0.6485230317854904,0.47278454767823563,0.6868686868686869,0.5862068965517241,0.8292682926829268,0.16008097053720524,,balanced,1291134095,1412271313,2888025053,3547496849,338a7c0fb220d51a85e68219796577568a26e308f5443f117566b69bbbb63c1a,7a4ef7146831ab24b2d57e40c24d83bdd7b59fed334d027ecb1dd1e01f816193,101954328cdf763ef3d297959f63c192c6ae5f57464001ae5ead38c154fe00c4,0.5132842063903809
1:2,Random Forest,2,0,42,3,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8437685901249257,0.7077776392941796,0.5616664589412693,0.6631578947368421,0.5833333333333334,0.7682926829268293,0.15570474192581185,,balanced,1207792847,3523332312,3397132120,446498548,1d15ed1ebf12365f8061d15f4c8fc492f34d3001b38f088b7e6ec40ad7169d3d,db5b32db657fc81f16db46fa1524fc96eacc2332a5d7aeb1e19ac152c8e455da,8944114aeb4bde2e4a725fb85df4c3cc3ba26a0fd9c5d16c595fac01f4d2ca8e,0.5174589157104492
1:2,Random Forest,2,0,42,4,328,656,81,162,0.3333333333333333,0.3333333333333333,0.8376771833561958,0.6395085646266524,0.4592628469399786,0.6893203883495146,0.568,0.8765432098765432,0.16026489124231397,,balanced,2534655002,1971048663,3509249309,635353153,a1e2f41e46c2393966c3bf4ce4ec5386419b8f80775b2dbf29e78b5bb7485ed3,74ab1b09014f8fcd9ff954263ba05ba07a710a6e452c2a1352e1ba108e4ebd48,8e82d64fa386426958051a44e8b201e0467d8e9aa9a8dace193cd1a6943eced2,0.5152409076690674
1:2,Random Forest,2,1,7,0,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8549970255800119,0.6934808168885289,0.5402212253327934,0.6938775510204082,0.5964912280701754,0.8292682926829268,0.1510860599350037,,balanced,984737381,3756613304,4266086141,3309269257,584307ca014b94c3a76d08f6cf29af2b821e22c2be6843835057382c360c8e0b,3561811e78f152cd3e25a44d59a104be1bf2e8979aaae4e8b56fa63d7c6fd3b5,5d21d602a9a958f96a6a8db434e5f0bbe4b0bcf0c888fbe764ac6493d21158d2,0.4916718006134033
1:2,Random Forest,2,1,7,1,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8342504461629983,0.6422801993708656,0.46342029905629833,0.693069306930693,0.5833333333333334,0.8536585365853658,0.15916149757972195,,balanced,803650727,4165663402,2268018935,4078462980,b4dcbf67c4db8c646030836dfdd3dc30ed074c10cec926999f686a9754ba34f0,d26fc49350253374a4236bf109d7d95e370e4eaaa85cc24a002de49385d3bc19,6a9393af9fe818712d44c555c1a5b992eaf273d234597dd63948d21a54e0a65d,0.5116839408874512
1:2,Random Forest,2,1,7,2,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8274836406900654,0.6513702852357062,0.47705542785355926,0.6632653061224489,0.5701754385964912,0.7926829268292683,0.1647040053265101,,balanced,1297179026,1927414149,501671558,2080185891,8741a75abb2036a094b4371e63756606667336036446a78055147327a977bc72,223ccdba19f76bcb78579e1f1ee66094f9007a1e56be195bdcc0c9626db52eea,5ca67b925ba7cd8777a04dcc1cd39caac0752d562bc52e425db5cb82daac26f9,0.5042719841003418
1:2,Random Forest,2,1,7,3,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8048036882807852,0.6193467954037835,0.4290201931056752,0.6395939086294417,0.5478260869565217,0.7682926829268293,0.17229146482971036,,balanced,158219701,2184918912,2998632408,3676711567,ef9ef6d73bb8bc58abfb33ff91b0f5804d9dbc3e6347fea3cc124252365f87ad,d945be6fbe2be78b2ba8d00732f4df3b053aaa11b23e36b675af1a4350f92539,0bdb6407ebb3b86e83b3d0ee0844a26ba08f6796fd704ba45320864df430b2b8,0.4947361946105957
1:2,Random Forest,2,1,7,4,328,656,81,162,0.3333333333333333,0.3333333333333333,0.84453589391861,0.7028898878315647,0.554334831747347,0.6733668341708543,0.5677966101694916,0.8271604938271605,0.158360390391789,,balanced,1998645208,3406563514,1067208240,2116107462,8b50834127b5b6bb881cfce8ae55fdf53521e9536b76ceab489db6b1fbf98ef2,b66445c958af80cb422082a60634c9f86791be1e078719e8f5d2a83111d9acbe,6cf8cd05c8199b3db6acaa8f32636f76a9504d0235863eb2dac7bfd68c7e5e79,0.5004580020904541
1:2,Random Forest,2,2,13,0,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8274836406900654,0.6308016057124611,0.4462024085686917,0.6740331491712708,0.6161616161616161,0.7439024390243902,0.15909511720303082,,balanced,2658756559,2178638259,4188311781,2385020629,619661359cac38901759da41592819e15ed56b878002e686dcd29ebc6db9cce9,29ab7e613566f07fb802c45bb65849724ac710730bfe0ca503582d1cf7b71261,d385a4483b29d4aa83ebce272e751fca7b74b79f0a25cbce9782c206be65f26c,0.5028631687164307
1:2,Random Forest,2,2,13,1,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8196014277215943,0.6384110135982378,0.45761652039735673,0.6938775510204082,0.5964912280701754,0.8292682926829268,0.1636187068307648,,balanced,2460697459,1311766183,809859313,2071354186,4f5165cb9fe22271dbf59e07176f1b86fbb11498e41db1e25a380b2a5978d8dd,f1f1e6e86fb7d309416fbac8d3f74106200ea66617233b7a13bd3842e8385eae,b9761f93f96f605c238a7645994eefdb06fcdf864d8f242b32d0e600d54dc84d,0.5245308876037598
1:2,Random Forest,2,2,13,2,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8272605591909578,0.6636234672011901,0.4954352008017852,0.6666666666666666,0.5752212389380531,0.7926829268292683,0.16343028913382632,,balanced,1892204932,2446100996,802906846,2886427279,121a0ae8850bb1a1eb49ed4161807b3c1d7f522a6e6d7c89814244f1c15b6585,49709e9617106117f674818d06fe0d30220b09bf169538c9a776d4dff3c8fce8,4bff4141c27c7e40cfb0e2e4228529fad8cff747f18a811c5a61dca827611087,0.5075070858001709
1:2,Random Forest,2,2,13,3,327,654,82,164,0.3333333333333333,0.3333333333333333,0.8248066627007733,0.6637131224236805,0.4955696836355208,0.67,0.5677966101694916,0.8170731707317073,0.1596310495708976,,balanced,1929101983,3494227047,4158422852,1228809269,0dc2afae2c1259e104827b999ec2dcfa1b8246b24550137aa1524d27d7c17601,9fa92515c0a11d656ed9e4a91f8331f2f44578798c7035a9b6d319c548ab86fa,29b2b3293baae257104c50bfa6a0fe9ee24098c64d0ba5b77dcada5d81839e27,0.5094208717346191
1:2,Random Forest,2,2,13,4,328,656,81,162,0.3333333333333333,0.3333333333333333,0.8237311385459534,0.6221084239482436,0.4331626359223654,0.6974358974358974,0.5964912280701754,0.8395061728395061,0.16318683262315456,,balanced,4121214247,3818754143,3886831063,546075536,920ad1a0a74c28a45b865977d5d79f9fdd6a730ae08e6e49d529ad14febec9b8,8ad6b73cfcb747c8508ce04b1c02388a0f393676618e9df4abc38ad68f6dda4a,0027291af842b0e38f29ca8d7d9c56ef9811bc5ce8b68b16ceed2b3b80b88e03,0.5117590427398682
1:3,Random Forest,3,0,42,0,327,981,82,246,0.25,0.25,0.8350684116597265,0.5254375438695923,0.36725005849278974,0.5858585858585859,0.5,0.7073170731707317,0.15089204196082276,,balanced,426843286,4058590906,1733943549,26589065,ca484cea4bcae6ef5d1be03f887e0eee3a30c0e6e254a2c274af57598cc1538a,7015a343308e83ce814989bdc7975bf6cdb4e8076984dbeb6b20b171e3981951,5bbb6300c79f6654503b3f917d328592a887c8fe775abb71bb2078fea85c2d0f,0.6115467548370361
1:3,Random Forest,3,0,42,1,327,981,82,246,0.25,0.25,0.8417112829664881,0.5399791586964335,0.3866388782619114,0.5925925925925926,0.5233644859813084,0.6829268292682927,0.14553714892724387,,balanced,719309173,1798047786,698785405,3486480270,c8cbd46f17d5f61768d63c434c1ded1d3f1c22dd121eae1d73058699709958fa,c34c8a0a154eae443ba3b6f66b3fef82e14b874489a8069df084556bd5580fad,a74a3ea280b442ec362d7a4e1f5c07ef75fb4ff32293926cfbb895681cb5e418,0.6148788928985596
1:3,Random Forest,3,0,42,2,327,981,82,246,0.25,0.25,0.8557406305770375,0.6404539268076912,0.5206052357435883,0.6039603960396039,0.5083333333333333,0.7439024390243902,0.14221657129537135,,balanced,1022590526,3078250195,1874861043,3949076301,a3ad2ba123361d172746b77075342cfd9d014ccc1caa874f4f8a75274948054b,b491022b98f77a58493423338c33549226777690e3c9bb6da69ab4146f147dcb,a8632669489bc7468a4fd4718c5e4779310e13ec17b905bc6921cd3371527469,0.6187982559204102
1:3,Random Forest,3,0,42,3,327,981,82,246,0.25,0.25,0.8214356533809241,0.5347810158449536,0.37970802112660484,0.57,0.4830508474576271,0.6951219512195121,0.15527348329505028,,balanced,1541165544,2155875762,1459954808,1609935897,5b0fc659535ae9c2a0a29248a3986db817b7f2a39f4c6582484db62dbfbf4fdc,65777f9438fae6a554d191670002b24a176d06bd98ac471d4d6d29f2d7a1a21b,52e8d09f4c65cbde2040a7075029ee032d258a38341a27bdef028db6454014e7,0.6149289608001709
1:3,Random Forest,3,0,42,4,328,984,81,243,0.25,0.25,0.8132398516486308,0.5326248572019486,0.3768331429359315,0.5818181818181818,0.460431654676259,0.7901234567901234,0.1631041962823446,,balanced,837548399,1579652887,3128883074,521036994,2507d789997b0ed3ba066ba7fa331fff22d916d6fc3962ecef6a466c67f74252,18efa3f103e62c3d76c7321e80da5f1eff1ebdb0dfbc872c2fc8b4f13da728d7,e639617e353dab55d93c0c201387f142ae2e1cdfb26101a36f425facbf6baa9d,0.6368808746337891
1:3,Random Forest,3,1,7,0,327,981,82,246,0.25,0.25,0.8362581796549673,0.5669157495879337,0.4225543327839116,0.6103286384976526,0.4961832061068702,0.7926829268292683,0.1521533668487633,,balanced,4129009545,3084822376,2598768255,901200719,9876bd7bffba1b95a445d2c12cf187a7a6d7abf17db6cd08ab2e57b376b69d85,59f6a494437098303b545e9d812fd3f5429a9dd5773eec277e6e7fda774cc861,19b6ba4099671926d3a4e91a9333cd06b690f490b320e02c842c40082d87d408,0.5906510353088379
1:3,Random Forest,3,1,7,1,327,981,82,246,0.25,0.25,0.8087943684314891,0.5394021444545688,0.3858695259394251,0.5560975609756098,0.4634146341463415,0.6951219512195121,0.15966795505725354,,balanced,1162269072,3679408178,2521514323,1078692102,29f52150520df7c7213e0d091946462d4391eda24b6ed98964475901608747ac,4aa3c5d4be9bd028262f09f7d263df1f68afb3f793a9340398bc4a5d2f06ffc4,73d1214b1a4706b987b158a0d80a14d352c48a0a36c989c8e371675aab5a57bd,0.5993549823760986
1:3,Random Forest,3,1,7,2,327,981,82,246,0.25,0.25,0.8264425936942297,0.5423731184705326,0.3898308246273768,0.58,0.4915254237288136,0.7073170731707317,0.15237766423876492,,balanced,153071978,3196202444,1154809180,2969113721,5b872f83506d5b13445ec0b5798746da94f3fcb87385655529d074e8fb8bf5e6,42179b887a8251055d9f555d21b8d23a28807422d5b5a008afde77a0ea96cfca,da8bbc27e66e489d9635a9fab46358a00f23cf8cae0f61575dbd6162cab6e970,0.624014139175415
1:3,Random Forest,3,1,7,3,327,981,82,246,0.25,0.25,0.8377453896490183,0.5700180608479883,0.4266907477973178,0.5959595959595959,0.5086206896551724,0.7195121951219512,0.14654649414418586,,balanced,3805947204,2501685002,3745541801,4192204068,259b8446a2c028f7b1255d2289618f2b322bd00a6d197b4830cc9ea3552e39e2,f3ca30cfe3380b3943a843564313b8aa4d78af82333912174ca64a731ad90253,dbafcd3aa652cec20ac38e89d0be64e310aae37c9d9ab9d2202d610f2d856682,0.629127025604248
1:3,Random Forest,3,1,7,4,328,984,81,243,0.25,0.25,0.8357465833460347,0.5493038293111752,0.3990717724149002,0.6161137440758294,0.5,0.8024691358024691,0.14967263378626267,,balanced,3195821444,2491950744,784868851,1263494735,842079a83dfec73d80665a99b7bd6af66e2b8b2b25a7f76967f392cab1194f31,8c2fb3657988e197ffd79fa56d8b02e0a16e12ec23933d12d829dc8b9c8c4358,3973ef95a1e7e77b20045a9bef6fa2dc1feaabb909de5330dada90239862b3fa,0.6440150737762451
1:3,Random Forest,3,2,13,0,327,981,82,246,0.25,0.25,0.8537576839183026,0.6422218406342429,0.5229624541789906,0.6127167630057804,0.5824175824175825,0.6463414634146342,0.13755097324515145,,balanced,2978825407,963540472,1593892049,56018860,4f8778b8b394d99a7020e65308442a5edcca1d268f64ee780e9b72f89ea01e7d,f0e327e97c42212dca22d8768c0ff4e4514ae04284347623a6401e2593e2d16b,b6aed0d4a7da05e3ab48b016ecde64da2ede54e6c8e573d8d72f519d38d51d18,0.642113208770752
1:3,Random Forest,3,2,13,1,327,981,82,246,0.25,0.25,0.8464207812809835,0.6173838007358211,0.4898450676477615,0.6206896551724138,0.5206611570247934,0.7682926829268293,0.14709856835919818,,balanced,958268311,1374890642,1234092339,376203308,b1faaa94988ac30048a667d0deb103353061a7ec9fc72216c6da770fca022515,25fb405df767944582e390395493e4c39da9bcf2475a7b901ce29d6e9a6e62f9,b80dd0324fa002c0c5ec5185a8c70e130509bf28ec78e9cb5e971ade118623b1,0.6071650981903076
1:3,Random Forest,3,2,13,2,327,981,82,246,0.25,0.25,0.8161312710688082,0.49938111456495826,0.33250815275327766,0.5876777251184834,0.4806201550387597,0.7560975609756098,0.1596314550090953,,balanced,3786843214,730111806,4155832376,58871740,ce9aa9cb2b47e149c160d3464161842aa92233aac7caea60928d38ef5f84fb76,df1c5675ba596ee8bd524a8ec1472c9b2f7263977f91f83fd940184efdd53265,17d089b3bbd126fdfb64428a78b33f237a3daf572efc27277a78c0a89629e999,0.6001889705657959
1:3,Random Forest,3,2,13,3,327,981,82,246,0.25,0.25,0.8329863176680548,0.5547445857685109,0.4063261143580146,0.5829145728643216,0.49572649572649574,0.7073170731707317,0.1497597357142498,,balanced,320819499,1492377245,3584647915,200313322,651f5e59b7b81f19e8378ff72523e4ff70d757458a939f9e00dbd7fa7c1ebd09,c89c56537d67a2550732624ab922a634a76f4c75aff39bb799d136bd88dd4af1,0147c37b2816c89f1fb45f6853049c86ec8e795e4264f63e7a31209aeb24a195,0.633408784866333
1:3,Random Forest,3,2,13,4,328,984,81,243,0.25,0.25,0.8341208149164253,0.5433510189206201,0.3911346918941601,0.6175115207373272,0.49264705882352944,0.8271604938271605,0.15317976868854902,,balanced,3826044452,3396187321,489864888,3312096944,0d024e313dd5641b63e3d12b6ea5afcd3c2e140e35028d014deaa4d645972028,55690499842561de473e7eca06ea22212e9ef2655b514aa1c587e05b08bd82a0,71d4efb396c8a70c7150ad7ad3e1ebdd97c78eb816ae855ccf247ea188bcb42d,0.60089111328125
1:4,Random Forest,4,0,42,0,327,1308,82,328,0.2,0.2,0.8523200475907198,0.5291755610610092,0.4114694513262614,0.5841584158415841,0.49166666666666664,0.7195121951219512,0.13664669868691734,,balanced,420896965,274940601,3059387520,1091522948,8640528f434696d9c1f83d5b4a7ba9970dbab31eff35ed7e2cdd8b3d4deb13a2,7365d3a5f0bbc7f1bcbd9649eb1ec71c9b7bd6e7f52f2235ea29f7cc26d65ca8,eac40fd7498341368097e28d8fabedf6c48f6a13449b2aad76585abffa531388,0.6872508525848389
1:4,Random Forest,4,0,42,1,327,1308,82,328,0.2,0.2,0.8574137418203451,0.5155966937737604,0.3944958672172004,0.5625,0.4909090909090909,0.6585365853658537,0.13011870253814606,,balanced,112853450,1906050182,2639398481,931109348,2d1c9acd4d5f6bc573ceb8bdf88f0dcc26dae3a8d9fb0ce64b9f5b984aa78038,8765d689d0ab1effe9c608e664bf003c3382892d40abe36baf8f3db1a9d28720,19f176707965f72de581aab9e842fae19d5efa6ada9ce219f0d6747ebcd12471,0.6670219898223877
1:4,Random Forest,4,0,42,2,327,1308,82,328,0.2,0.2,0.8455160618679358,0.5203849279544924,0.4004811599431155,0.5412844036697247,0.4338235294117647,0.7195121951219512,0.14103416974956728,,balanced,2399257510,1272201273,3162911178,2958847988,7a030d352dc5e1b44e93da59149ecda963849fa168067521c8262fff46bf49ee,41620021c78c0d193781dc5098e10c05e8b926d1b94bf4bf9a5377452e6a7d6d,5dc40898bedc88c8c951bf1c76c89b23d1a182fb3273d7dc8fa187aacae2dd93,0.6867070198059082
1:4,Random Forest,4,0,42,3,327,1308,82,328,0.2,0.2,0.8265541344437835,0.5109404378348422,0.38867554729355275,0.5555555555555556,0.47413793103448276,0.6707317073170732,0.1449327241838763,,balanced,11564909,740375017,1618978559,380994269,9c13a40cb3ae01a188c19bf859a85e796d51b7b466bdabdbd7ea3069616af394,7ecdd8eff83761c68c95bf4a54180eca4e103026d1abd4f3cd6cd22eaa5d15cf,f5bf33163cb9f2428767f2781e6c673ffade5fc9dccb4b2aac4e299dfc8c4c4a,0.7075400352478027
1:4,Random Forest,4,0,42,4,328,1312,81,324,0.2,0.2,0.8295610425240054,0.4833445107883208,0.354180638485401,0.5304347826086957,0.40939597315436244,0.7530864197530864,0.15473620146175415,,balanced,1986933049,1345388185,809246370,1225012800,1339bebea87ea6fd0449fb34ccbaa9ff4c4887d9c03329f4ad315797396d0fd2,fb3aee326e605c59b556302d09fc0bca38f36e244af23e150054bf5f0e4b3713,1287d10930e55a9a39de130bb63aab2dd78a346dc0df457ebbe23ecca95a412c,0.6774671077728271
1:4,Random Forest,4,1,7,0,327,1308,82,328,0.2,0.2,0.8434711481261155,0.5164766155903967,0.39559576948799585,0.5463414634146342,0.45528455284552843,0.6829268292682927,0.13718747862789757,,balanced,1468846442,601673352,346085279,19711159,5d009302a81e769a44f857ae4f7f10c519222f26adbcf813922e54b0c4102781,7ca03482235f2708b355dcde71659a5c6628400f41ccd3b431805e94cf2057c0,c6e7e157cb49324401b6e4213c3fa6c65cc0d59a7441bc76fe7706bd7249855f,0.7269067764282227
1:4,Random Forest,4,1,7,1,327,1308,82,328,0.2,0.2,0.8360350981558596,0.4907715172916271,0.36346439661453384,0.5592417061611374,0.4573643410852713,0.7195121951219512,0.14249058746445464,,balanced,223527115,1179373019,3284808835,3611339459,28ad7301dd8da6a843601e022cb5d43c6a1bf57aac75561e1acd93a3979ad7c4,728767a70b82eea78518c6117f5be18c5649a36a84a4ab4ab17747c4cfb60457,d336e381ed0d2d313c2d3ee85ba7e4fad3fcf7a92a0e98ce6cfb5a52b7bfdc53,0.6789860725402832
