id,name,source,raw_gene_count,annotated_gene_count,gene_set_group_id,gene_set_sha256,source_record_count,mixed_source
AC_COA-PWY,coenzyme A biosynthesis I (bacteria),AraCyc,6,6,GSG_0526dedde4bc44ea,0526dedde4bc44eaac05044c0dc79d3df9a1456a58e1feb4907d912f6d380e41,1,False
AC_COMPLETE-ARO-ARA-PWY,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",AraCyc,32,32,GSG_36a0417a145ed637,36a0417a145ed637f096cfb156b5bcefbd292e705c1d8ea829e45d465c7d525a,1,False
AC_CYANCAT-PWY,cyanate degradation,AraCyc,16,16,GSG_e0bd20501e4f7278,e0bd20501e4f72785d1828f1cd2a395ac44cd613950ac428966da04ab36f7a34,1,False
AC_CYSTSYN-PWY,L-cysteine biosynthesis I,AraCyc,13,13,GSG_482fc2bc09ce34cd,482fc2bc09ce34cda4ee560695a42cacd283d7d88f987944622e96806929f2f4,1,False
AC_DETOX1-PWY,superoxide radicals degradation,AraCyc,11,11,GSG_98c43086c88b6240,98c43086c88b6240f09de8c80a48404665e420fbc1ad3ca10e1133b66d3affae,1,False
AC_DETOX1-PWY-1,reactive oxygen species degradation,AraCyc,20,20,GSG_45132cc8c23e41ae,45132cc8c23e41ae3ff1db61c7f97c00044d9f9d0f051bc99bb5601f3fdd5c8b,1,False
AC_DTDPRHAMSYN-PWY,dTDP-beta-L-rhamnose biosynthesis,AraCyc,7,7,GSG_cab7a54d5dedb7ba,cab7a54d5dedb7bafe9d2e5216e51bd22dc88ed751b939896cd3d7bb17009b7c,1,False
AC_ETHYL-PWY,ethene biosynthesis I (plants),AraCyc,23,23,GSG_770672cf7e294667,770672cf7e2946674632653d25f50b995ae708fed5ff9742aea91aa966dda208,1,False
AC_FASYN-ELONG-PWY,fatty acid elongation -- saturated,AraCyc,15,15,GSG_ba69b05464d0d469,ba69b05464d0d4697289d71557720c5c9db60e443dcf8560a3834ac3da274f5d,1,False
AC_GLUCONEO-PWY,gluconeogenesis I,AraCyc,48,48,GSG_a009efff5f19a7fa,a009efff5f19a7fa8776a8336fa8648f4da411aaec64b44ba8ce8bc499805d69,1,False
AC_GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,AraCyc,13,13,GSG_d79206d598b6608e,d79206d598b6608e65ebcaf246cbff0388a1be11576c499526aafdf97facf873,2,False
AC_GLUTAMINDEG-PWY,L-glutamine degradation I,AraCyc,35,35,GSG_a4118fc021955b2d,a4118fc021955b2d948ad5f5821833259859a881204a56ebba1b075c4d9eb7c7,1,False
AC_GLUTORN-PWY,L-ornithine biosynthesis I,AraCyc,10,10,GSG_f1026ea09e15d34d,f1026ea09e15d34d78e0b2bbd40cabb905035ffde820929ecc6dc818ea4af51a,1,False
AC_GLYCLEAV-PWY,glycine cleavage,AraCyc,10,10,GSG_fa8759797920a7a5,fa8759797920a7a56a4d4c86c6197c9c37050d64e9ac4093b55e43647e810674,1,False
AC_GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),AraCyc,56,56,GSG_f62ef0be8776af12,f62ef0be8776af1290510c17678ead228962d28d5da399c652d2f65dead75c00,1,False
AC_GLYOXYLATE-BYPASS,glyoxylate cycle,AraCyc,21,21,GSG_357cff8c9e136e41,357cff8c9e136e4137d05e9a2f073e95e5fc1e978846452e8b695666295d5845,1,False
AC_GLYSYN-ALA-PWY,glycine biosynthesis III,AraCyc,5,5,GSG_40cc533ad7367561,40cc533ad736756165848eeba2a2076b7edbba93c201d5706c0f0cd171fa927a,1,False
AC_GLYSYN-PWY,glycine biosynthesis I,AraCyc,7,7,GSG_0946f2d13493ddc2,0946f2d13493ddc2a8a44861921afb3c06b844ee42125d45966e75dcd3874165,1,False
AC_GLYSYN2-PWY,glycine biosynthesis,AraCyc,11,11,GSG_8427d3d1750c217d,8427d3d1750c217dc24d78561bc67d4fe55745fff74dc209c9f36420dc8b788e,1,False
AC_HEME-BIOSYNTHESIS-II,heme b biosynthesis I (aerobic),AraCyc,9,9,GSG_880c9956af59cd08,880c9956af59cd088c831157c172240bdb678788ec70e53e6a5cb51f6bb26c56,1,False
AC_HISTSYN-PWY,L-histidine biosynthesis,AraCyc,11,11,GSG_578582b4a04a4253,578582b4a04a42535e37016f8fb7dc238db6a5f582b69cd187ba08d346a252ec,1,False
AC_HOMOSERSYN-PWY,L-homoserine biosynthesis,AraCyc,6,6,GSG_e9572ed83b5d87b7,e9572ed83b5d87b7cdf2abef0e7a854db3cb2981286306eae7990bb29b93c10f,1,False
AC_ILE-VAL-PWY,superpathway of isoleucine and valine biosynthesis,AraCyc,7,7,GSG_4a1bb1ac7889f7f7,4a1bb1ac7889f7f7a7788d63f9f7cb970f0e3c6cb42bc455819a494309b61eb3,2,False
AC_ILEUDEG-PWY,L-isoleucine degradation I,AraCyc,9,9,GSG_7fea676774096717,7fea6767740967172aa5172872782bcbb7a3b6582e90fbe995c0c84999f74c89,1,False
AC_ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine),AraCyc,6,6,GSG_173b87f6d85e38be,173b87f6d85e38be63131c0ee9e0245b96289883e13f48502f29fa28b653e822,1,False
AC_LEU-DEG2-PWY,L-leucine degradation I,AraCyc,13,13,GSG_b4d018e6ba092c15,b4d018e6ba092c15d3abdc3004e9a170712fc2e604962297b48eaa514e5b6c9a,1,False
AC_LEUSYN-PWY,L-leucine biosynthesis,AraCyc,18,18,GSG_c865c52e1fe5438f,c865c52e1fe5438f6bac26aa49c34093da56a85dbd452b5ca1aeb1e7abc01b5b,1,False
AC_LIPAS-PWY,triacylglycerol degradation,AraCyc,44,44,GSG_c35a8e43f920ee16,c35a8e43f920ee16d887ba9560229bbb8f1f0e7d2d7f6aebf7102156a82fc1b4,1,False
AC_LIPASYN-PWY,phospholipases,AraCyc,59,59,GSG_7075d0469eabbce4,7075d0469eabbce4906c265a51e2e72b0a244fb6577be23815b8944a8a34d581,1,False
AC_LYSINE-DEG2-PWY,lysine degradation II,AraCyc,5,5,GSG_77286fe8c4c54730,77286fe8c4c54730d2076f77c8d669c8bd0524ddb7bcedf304110419f1b7b48c,1,False
AC_MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,protein N-glycosylation initial phase (eukaryotic),AraCyc,14,14,GSG_2ab9180ee057b64c,2ab9180ee057b64c91a6ac9519b6cee71e3ff8c7dd95222ca5e38b2e759fa738,1,False
AC_METHIONINE-DEG1-PWY,L-methionine degradation I (to L-homocysteine),AraCyc,5,5,GSG_ecae25f996df49c2,ecae25f996df49c229266e781cb82d70ed56b3f7ebae1b5c6db9c7d242c18647,1,False
AC_NAGLIPASYN-PWY,lipid IVA biosynthesis (E. coli),AraCyc,9,9,GSG_a6a63a2530098f6d,a6a63a2530098f6dafee3a0f73de9d3bae9710851206b4f3c20ed09556589f02,1,False
AC_NONMEVIPP-PWY,methylerythritol phosphate pathway I,AraCyc,10,10,GSG_dc2314727f1f2b85,dc2314727f1f2b85cea0745f80ad4e30fee3968841c344839e2afb0b47b6fb21,1,False
AC_NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch) I,AraCyc,12,12,GSG_b4a8a4073a7349a3,b4a8a4073a7349a309605427af3abe7ee7dec32bf4a514e054b4557ba941c0a1,1,False
AC_OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,AraCyc,14,14,GSG_f2c63c5ec360d0b5,f2c63c5ec360d0b5b7df2ddc32785e7e7d9969e42d1801cc7879f8f1be11d7bd,1,False
AC_PANTO-PWY,phosphopantothenate biosynthesis I,AraCyc,9,9,GSG_cba12a1e136b9c97,cba12a1e136b9c97473cbf8fd359c36e129b5297937efd2d2b02b72574de5046,1,False
AC_PENTOSE-P-PWY,pentose phosphate pathway,AraCyc,26,26,GSG_aa655dd1671c6c2e,aa655dd1671c6c2eab8402b96ff198d21ea7b29204cf60b864182a24fe6af340,1,False
AC_PHOTOALL-PWY,oxygenic photosynthesis,AraCyc,53,53,GSG_1ac7d924d538c28f,1ac7d924d538c28f92b12bae78da4055a8bad5769acb5d578750ca22d043b76f,1,False
AC_POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,AraCyc,12,12,GSG_7726776d2436a4fd,7726776d2436a4fd9e92aea90ae135e404b09a4a9920142af1756deae5ff82b8,1,False
AC_PWY-1001,cellulose biosynthesis,AraCyc,27,27,GSG_ab248c315ae46ae6,ab248c315ae46ae6847c1628f15673f71e55a5413cf9bb2d9cbd89ce8528069a,1,False
AC_PWY-101,photosynthesis light reactions I (plastocyanin),AraCyc,18,18,GSG_b1601d1f4d041b1d,b1601d1f4d041b1d90fbc761579d92d5a54bd71f1457cc2187b1ca818bd66758,1,False
AC_PWY-102,gibberellin inactivation I (2beta-hydroxylation),AraCyc,16,16,GSG_5f17409f391887a2,5f17409f391887a2b0a153e5a01a6746bad6a76ff64bec91c9d0a24ee13a7d3a,1,False
AC_PWY-1042,glycolysis IV,AraCyc,51,51,GSG_5076f29deeeb0076,5076f29deeeb00768291806083150b732e3cbda87be0da73e95c22806aa28884,1,False
AC_PWY-1061,homogalacturonan biosynthesis,AraCyc,26,26,GSG_844204f0ef4b136a,844204f0ef4b136ac46dfdc4f4ffd38bcb112cba75a17a6723059beeb3962067,1,False
AC_PWY-112,lupeol biosynthesis,AraCyc,6,6,GSG_c43d932b4f8513ca,c43d932b4f8513cad06eb975f619465d13e0964076c3b37f385d97079ed49f96,1,False
AC_PWY-1121,suberin monomers biosynthesis,AraCyc,59,59,GSG_81fdd7fe41e0a9cd,81fdd7fe41e0a9cdc17676eb1744a8b275fb8f1550fec90525d16b1fd60aaa15,1,False
AC_PWY-1187,glucosinolate biosynthesis from homomethionine,AraCyc,32,32,GSG_1999cc88a800537e,1999cc88a800537e6236fb02002a42f158beb96d81c3cc854b4277480230309f,4,False
AC_PWY-1722,"formate assimilation into 5,10-methylenetetrahydrofolate",AraCyc,7,7,GSG_88d55886e2dc18a6,88d55886e2dc18a65c826799c2dd97b6eb137ef03234d9c9fcaf07eff2cef2fc,1,False
AC_PWY-1741,indole-3-acetate inactivation IX,AraCyc,5,5,GSG_c6dcbedf15e428ef,c6dcbedf15e428ef61fdbe176d3020cd4f7bb9e81aa49e9d491a1fc0be909963,1,False
AC_PWY-1782,superpathway of indole-3-acetate conjugate biosynthesis,AraCyc,17,17,GSG_82d731427f31a2c1,82d731427f31a2c177c1a4edadfc39ba39ada1304093b91e8e8f64c7dd1ae2db,1,False
AC_PWY-181,photorespiration I,AraCyc,23,23,GSG_c59b47253643841f,c59b47253643841f606af04b2ee9a4def9c33f1d941a9f69b149d25a6f76af72,2,False
AC_PWY-2021,indole-3-acetate inactivation IV,AraCyc,12,12,GSG_fc4b35dc89a15ae7,fc4b35dc89a15ae7ca0ab735a29f9a4d4d5e0bf06a1224b4bf06eb171e0ea5d4,3,False
AC_PWY-2161,folate polyglutamylation,AraCyc,14,14,GSG_a155441b5bca20c3,a155441b5bca20c354da9a3c77d1e10fe0f129fe17360de32ca73ae2c0566ca6,1,False
AC_PWY-2181,free phenylpropanoid acid biosynthesis,AraCyc,9,9,GSG_0fce178e65579752,0fce178e65579752f359f9332e8bb319b6659025ca547b699f5a2707f83561ed,1,False
AC_PWY-2261,ascorbate glutathione cycle,AraCyc,15,15,GSG_b4305b3bac95f47e,b4305b3bac95f47e785d2c328b7a238f6c41397cd1c31e318aeeb65b882efcc2,1,False
AC_PWY-2301,myo-inositol biosynthesis,AraCyc,6,6,GSG_f4772eed694690ac,f4772eed694690acf30587bb556f5bd94f6417bd5161fb606d52e934111d413d,1,False
AC_PWY-2463,(-)-medicarpin biosynthesis,AraCyc,9,9,GSG_a778abb7474876a5,a778abb7474876a56b965f41bb735fae22bb1ce9a24177a545962ff265054805,1,False
AC_PWY-2541,phytosterol biosynthesis (plants),AraCyc,23,23,GSG_a6253c14bcd1a04f,a6253c14bcd1a04f29a327bbc1360f38299e939969fc485a263f110d7cdf87fd,1,False
AC_PWY-2582,brassinolide biosynthesis II,AraCyc,7,7,GSG_5e27f0c888799609,5e27f0c888799609435db61bde083312f7356256fb812b0de32ff17827d5a181,3,False
AC_PWY-2681,trans-zeatin biosynthesis,AraCyc,9,9,GSG_c1565cdb04aec4d4,c1565cdb04aec4d41479705723b280654751be008ad5485adc1adcaf4afbdbe9,1,False
AC_PWY-282,cuticular wax biosynthesis,AraCyc,15,14,GSG_b4a326bd4105b936,b4a326bd4105b936716087dc1eccb84eecc8c9fbb707ca4d4e0df5a900401e15,1,False
AC_PWY-2821,glucosinolate biosynthesis from phenylalanine,AraCyc,20,20,GSG_ecbf5a870bc02744,ecbf5a870bc02744f9712fd4a22b933e9babcbb3ecfd7a464d598b9d5fa5c8c5,1,False
AC_PWY-2902,cytokinin-O-glucosides biosynthesis,AraCyc,25,25,GSG_b65adb8137fb87d4,b65adb8137fb87d4ac7dfb22aade92c717ce9d4f42bb198d503978e07a872450,1,False
AC_PWY-3001,superpathway of L-isoleucine biosynthesis I,AraCyc,25,25,GSG_ac4c0cf6aa86807b,ac4c0cf6aa86807bc7aeb30656ff81063a24b952cf99ef3ffe89973c0c41976d,1,False
AC_PWY-3041,monoterpene biosynthesis,AraCyc,8,8,GSG_27c31c204fb270e1,27c31c204fb270e10d9a5297ab6384f0bf50c0e59d9c5be4611eb8f84f55f88c,1,False
AC_PWY-3101,flavonol biosynthesis,AraCyc,14,14,GSG_05d89ac30d921936,05d89ac30d921936c5aa698de022a85fd53520baf0ca0423ddcab1b21892c7a5,1,False
AC_PWY-321,cutin biosynthesis,AraCyc,37,37,GSG_2fe9cb074a72215d,2fe9cb074a72215d2afc4f86271ef005ae65240d6e60a2a8750ff291b86b4394,1,False
AC_PWY-3461,L-tyrosine biosynthesis II,AraCyc,5,5,GSG_906b6559e384cfa4,906b6559e384cfa45094252ba56b62b6ae2048bf16aef9e017bff20e626c9fdf,1,False
AC_PWY-3462,L-phenylalanine biosynthesis II,AraCyc,10,10,GSG_1f7c1fbf70004c3d,1f7c1fbf70004c3d2988413652dea5080fc3458b9880c29eb0bf4161a17734f6,1,False
AC_PWY-3481,superpathway of L-phenylalanine and L-tyrosine biosynthesis,AraCyc,11,11,GSG_632afeee1bc45eff,632afeee1bc45eff8567dd8179df647e85c9334e55aed71df067f02eef465957,1,False
AC_PWY-3561,choline biosynthesis III,AraCyc,11,11,GSG_595e4395acd94e87,595e4395acd94e879e48ca33727e333884cbe25e10ead2c7bb8727170b7cebf0,1,False
AC_PWY-3742,tetrahydrofolate biosynthesis II,AraCyc,25,25,GSG_e4cbd9dca822364e,e4cbd9dca822364ec659857097809636ec0631e9b5642e95889cfc86c8718568,1,False
AC_PWY-3781,aerobic respiration I (cytochrome c),AraCyc,39,38,GSG_560c453d7716c771,560c453d7716c7711b24b051dbb807cd0877f4247f56a3f1ba911cc5396ea5c7,1,False
AC_PWY-3801,sucrose degradation II (sucrose synthase),AraCyc,35,35,GSG_24d2b8fdd1f993e5,24d2b8fdd1f993e51c45fbb9ab2bd4b5d1199c8befe586094d5686dec2752310,1,False
AC_PWY-3841,folate transformations II (plants),AraCyc,24,24,GSG_64a248c015ddc26b,64a248c015ddc26b5243c2eafb8d64736fff329e5b0b58482f94cb8a3b9f541d,1,False
AC_PWY-3941,beta-alanine biosynthesis II,AraCyc,10,10,GSG_2d729f28f3535abf,2d729f28f3535abfd7fe8ce312c9f96a35c5ebb4da9193414cac689280a7c949,1,False
AC_PWY-401,galactolipid biosynthesis I,AraCyc,6,6,GSG_7d8d5844beaa8eba,7d8d5844beaa8eba51d5e29130fa7963e5b3a263a5b60f38bb653ee70cd672c8,1,False
AC_PWY-4041,gamma-glutamyl cycle,AraCyc,6,6,GSG_52a7300ecf914695,52a7300ecf9146957409d642cc395e93afaac5f6a4e5192f653971a23e86a414,1,False
AC_PWY-4081,glutathione-peroxide redox reactions,AraCyc,11,11,GSG_9068279728222e78,9068279728222e78b2448cd6f0603c578ad14890f6f12d00169face21e04eae4,1,False
AC_PWY-4101,D-sorbitol degradation I,AraCyc,18,18,GSG_31c5ab647e2eca81,31c5ab647e2eca816b7253fedbc16c51f0ac497acf11f87fc004d06efa35ba52,1,False
AC_PWY-4203,volatile benzenoid biosynthesis I (ester formation),AraCyc,13,13,GSG_1aced0f6ed08d487,1aced0f6ed08d487b9db3bdb5b4c0e2577d5217a2ce7c26104069771b2cfb225,1,False
AC_PWY-4221,superpathway of coenzyme A biosynthesis II (plants),AraCyc,24,24,GSG_d4f4bcab236c03c7,d4f4bcab236c03c7bc2820faa34c605599f64065dbb2267c45f4b1ab6aa6b321,1,False
AC_PWY-4221ARA,superpathway of pantothenate and coenzymeA biosynthesis,AraCyc,15,15,GSG_a075a296d9a88636,a075a296d9a88636d59b651823ef37ab6484494da36cde80f023b457119ea89b,1,False
AC_PWY-4302,aerobic respiration III (alternative oxidase pathway),AraCyc,36,35,GSG_cc378cfa7e63b866,cc378cfa7e63b866f8a23b8f927ce29a3d61be63437276eac23062416e71ff41,1,False
AC_PWY-4321,L-glutamate degradation IV,AraCyc,9,9,GSG_b6be1b881bc02bd2,b6be1b881bc02bd27b8f87f68ec2eaccd23909ede4ef87503bf43116cb2d9a78,1,False
AC_PWY-4361,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I,AraCyc,8,8,GSG_6343d5a5bedac72a,6343d5a5bedac72a8b15e44e0b4750acddbcbf85022a52bdb73673c9544d3ecc,1,False
AC_PWY-4381,fatty acid biosynthesis initiation (type II),AraCyc,6,6,GSG_9f0d2ee299f58669,9f0d2ee299f5866994437c4372530dae70ca7efba28bb44d607900abb9ba84f6,1,False
AC_PWY-4541,"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P3)",AraCyc,8,8,GSG_0ed1cf0e7c404c94,0ed1cf0e7c404c9473615cfb6acbf49727c6bb10555510589a204e53842022ec,1,False
AC_PWY-4562,"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)",AraCyc,12,12,GSG_b209ad6ed92a9151,b209ad6ed92a91513410f52027540b9800aabc946442281e843478d4c74c10dc,3,False
AC_PWY-4661,1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza),AraCyc,14,14,GSG_ba833f8e8445b3b6,ba833f8e8445b3b62823b54fda3923da4966c7ea02b0db35ab21e5d61829d434,1,False
AC_PWY-4702,phytate degradation I,AraCyc,5,5,GSG_075ae4ef1485bb33,075ae4ef1485bb337202d10a443f62b3de52b5b911fe7e540fceadd204d782a8,1,False
AC_PWY-4821,UDP-alpha-D-xylose biosynthesis,AraCyc,12,12,GSG_4d480da52a6a1bad,4d480da52a6a1badb38653f2f31f65c66c22eb0ca7e5100ebfff900899e9984e,1,False
AC_PWY-4841,UDP-alpha-D-glucuronate biosynthesis (from myo-inositol),AraCyc,7,7,GSG_f62b9586bb096c73,f62b9586bb096c73997c446fe9622136053cd589d0adb08042e5d057e7cb3486,1,False
AC_PWY-4861,UDP-alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate),AraCyc,5,5,GSG_ee8d45be5fc0a762,ee8d45be5fc0a7628aacfaac720a69dfbe8aa2ce0bc1e9f4110e44326b239748,1,False
AC_PWY-4984,urea cycle,AraCyc,5,5,GSG_ec7738024e6123c6,ec7738024e6123c64a3636e5e9284b6989ef0ccd594dea61fab78e5aa6908e47,1,False
AC_PWY-5004,superpathway of L-citrulline metabolism,AraCyc,46,46,GSG_28d361fd8f5a7af1,28d361fd8f5a7af14f48f3fe152a80c07fa8dbe75e362c842759bffa32adc097,1,False
AC_PWY-5027,phylloquinol biosynthesis,AraCyc,8,8,GSG_c0348fa3f8b4e1fb,c0348fa3f8b4e1fbcc72e57ca3209784392abf0df7e555f714d1506f4c8355c9,1,False
AC_PWY-5035,gibberellin biosynthesis III (early C-13 hydroxylation),AraCyc,14,14,GSG_d7129aa89b2e1d5f,d7129aa89b2e1d5f7059f8b59726627e41bcf0db7677614e4e19e72b7b9e8760,1,False
AC_PWY-5041,S-adenosyl-L-methionine salvage II,AraCyc,8,8,GSG_99707371e33d2b7f,99707371e33d2b7fe49dafca602edf70528b2add7223cb4599403b42cabab174,1,False
AC_PWY-5044,purine nucleotides degradation I (plants),AraCyc,23,23,GSG_ffda4e6959aac921,ffda4e6959aac921445f7ba4cd7a873916eb135a22680586bd6f41f02f08ab6a,1,False
AC_PWY-5046,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,AraCyc,8,8,GSG_38c0667aef17e1a9,38c0667aef17e1a97b292ab0e8e404d1e0cec439d6f4fe7e90c07a4594c77e30,1,False
AC_PWY-5049,rosmarinic acid biosynthesis II,AraCyc,5,5,GSG_a6335d7891cd9795,a6335d7891cd9795b9449b76a98762da0e851ccf3bf42ebdac75b3fe8c0c346c,1,False
AC_PWY-5068,chlorophyll cycle,AraCyc,6,6,GSG_ea47d6cb6d08871b,ea47d6cb6d08871bf340b1f13c1c59c96e005c2eddc7971ed4edd4b28eb8d543,1,False
AC_PWY-5070,"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)",AraCyc,8,8,GSG_4783b2aa1f62c77a,4783b2aa1f62c77a2f3d75c685c7ad6b49caa2264dffc06ff782be2443f201b5,1,False
AC_PWY-5079,L-phenylalanine degradation III,AraCyc,9,9,GSG_24caffd25c9b3b74,24caffd25c9b3b7411d710205565809a52bcf33ad47486abafd776f630f8c25e,1,False
AC_PWY-5080,very long chain fatty acid biosynthesis I,AraCyc,44,44,GSG_60493205d3e25767,60493205d3e257672390a0302a909b466c140682c306be9a7956680977afb2ba,1,False
AC_PWY-5083,NAD(P)/NADPH interconversion,AraCyc,27,26,GSG_fe6652bb07de9f50,fe6652bb07de9f50b81f9653e83877ee00b0515547eef4ab31d662c38b1ec83f,1,False
AC_PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA,AraCyc,8,8,GSG_7b8601224acca59b,7b8601224acca59bfbd3e5401ce7754ff88acd9138df48146175bbedc56932f9,1,False
AC_PWY-5097,L-lysine biosynthesis VI,AraCyc,15,15,GSG_e2941473d8b31da0,e2941473d8b31da07831ca4f556b53059296088ebe5207ef16c54994a571b1f2,1,False
AC_PWY-5098,chlorophyll a degradation I,AraCyc,9,9,GSG_e996857d4bca162f,e996857d4bca162f54e6500b57f9382ee0285936334ea32bdb89c1c40d12e14b,1,False
AC_PWY-5120,geranylgeranyl diphosphate biosynthesis,AraCyc,16,16,GSG_0dddf26917141e07,0dddf26917141e07901b667dabd2602118c40ba9e31ddeed389e314756b63415,1,False
AC_PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),AraCyc,29,29,GSG_01ed2070a1185529,01ed2070a1185529f3b3028353672b25eb7c80894096690fd2d2aec0adb8f586,1,False
AC_PWY-5122,geranyl diphosphate biosynthesis,AraCyc,15,15,GSG_ed9f32c3cc41ba98,ed9f32c3cc41ba98d642eb0b0beec7e24829b3026c0c949e351e4675b896a941,1,False
AC_PWY-5123,"trans, trans-farnesyl diphosphate biosynthesis",AraCyc,16,16,GSG_062ee68ebeb063d3,062ee68ebeb063d3e48f9fcee50f4003a6c00970a283f8edaf376f0f03b16e59,1,False
AC_PWY-5125,anthocyanin biosynthesis,AraCyc,14,14,GSG_a8f6cee3f79f3385,a8f6cee3f79f338516beed8619a4991d5ff6477026c155e67d7d6af0fbf74b92,1,False
AC_PWY-5129,sphingolipid biosynthesis (plants),AraCyc,17,17,GSG_273d818e3bed32fe,273d818e3bed32fe8bf35226530637710c6e978d904eef0a01cf37cb569c81f1,1,False
AC_PWY-5136,fatty acid beta-oxidation II (plant peroxisome),AraCyc,15,15,GSG_3e04fed7e61fe86a,3e04fed7e61fe86aa63556a41571d5130a2ecd3d363a15d730feaa515af76407,1,False
AC_PWY-5137,"fatty acid beta-oxidation III (unsaturated, odd number)",AraCyc,5,5,GSG_8619bada27c8d15e,8619bada27c8d15e02abc88aa52f0c164713466857cc04be897d993114bf4971,1,False
AC_PWY-5138,"fatty acid beta-oxidation IV (unsaturated, even number)",AraCyc,10,10,GSG_513f21ecd64d9e59,513f21ecd64d9e5902628fb81abac6a57354e8010dc2b4810faca9a112b7e318,1,False
AC_PWY-5142,acyl-[acyl-carrier protein] thioesterase pathway,AraCyc,7,7,GSG_3742c190e37dc7bc,3742c190e37dc7bc08b7c5b207fb76002f6b3b2c5f96981a8c6207f40075650d,1,False
