model,feature,mean_abs_probability_shap
LightGBM,GO:1902074,0.0
LightGBM,GO:0009813,0.0013662430328886617
LightGBM,GO:0009931,0.0
LightGBM,GO:0005819,0.0
LightGBM,GO:0046933,0.0
LightGBM,GO:0005783,0.005147315722189768
LightGBM,GO:0005741,0.00032820632602985843
LightGBM,GO:0005737,0.033649987281643444
LightGBM,GO:0051082,0.0
LightGBM,GO:0038023,0.0
LightGBM,GO:0008483,0.0033271290179712927
LightGBM,GO:0005829,0.02047040044567137
LightGBM,GO:0009451,0.0
LightGBM,GO:0009809,0.0006117104610873543
LightGBM,GO:0010197,0.0010395475604262792
LightGBM,GO:0000785,0.0
LightGBM,GO:0000287,0.005315064122475037
LightGBM,GO:0005739,0.011274798004621002
LightGBM,GO:0010224,0.0032771816663445903
LightGBM,GO:0009504,0.0
LightGBM,GO:0016132,0.0
LightGBM,GO:0080027,0.0
LightGBM,GO:0009631,0.0
LightGBM,GO:0046856,0.0
LightGBM,GO:0006888,0.0
LightGBM,GO:0003723,0.005604523460809868
LightGBM,GO:0042644,0.0004493857433166692
LightGBM,GO:0019748,0.0
LightGBM,GO:0003729,0.002088907414735301
LightGBM,GO:0016020,0.0034877795165421934
LightGBM,GO:0051510,0.0
LightGBM,GO:0009579,0.01849537890346636
LightGBM,GO:0072583,0.0
LightGBM,GO:0005759,0.005480365639603116
LightGBM,GO:0009644,0.0
LightGBM,GO:0006631,0.0023560730015358545
LightGBM,GO:0000160,0.0
LightGBM,GO:0009640,0.0
LightGBM,GO:0015706,0.0
LightGBM,GO:0061630,0.0
LightGBM,GO:0140359,0.0
LightGBM,GO:0031624,0.0
LightGBM,jaccard_mean,0.11562257249980265
LightGBM,jaccard_min,0.0009708551161397192
LightGBM,jaccard_max,0.006916882690122823
LightGBM,jaccard_std,0.03439109823319019
LightGBM,annotated_gene_count,0.056372270554042536
LightGBM,log_annotated_gene_count,0.012648679190920492
LightGBM,go_entropy,0.07581492712168646
LightGBM,go_size_std,0.013912905103000183
LightGBM,mean_go_per_gene,0.05286696279596135
CatBoost,GO:0008150,0.046903146785158244
CatBoost,GO:0003700,0.010855049046041572
CatBoost,GO:0030533,0.0040721653694173665
CatBoost,GO:0006414,0.005466527505521938
CatBoost,GO:0005575,0.0065328176071312955
CatBoost,GO:0009507,0.02434515256324621
CatBoost,GO:0006355,0.006360635109611495
CatBoost,GO:0007165,0.006840529336861346
CatBoost,GO:0006412,0.009355541845626637
CatBoost,GO:0004565,0.0008502802934682296
CatBoost,GO:0004672,0.005143644762765697
CatBoost,GO:0044024,0.00017502965623878615
CatBoost,GO:0055085,0.0025160505837430037
CatBoost,GO:0042393,0.00026669612628085326
CatBoost,GO:0009860,0.006581607550756113
CatBoost,GO:0019761,0.00084771397651921
CatBoost,GO:0046686,0.001278501590695877
CatBoost,GO:0005886,0.008201784165083255
CatBoost,GO:1902074,0.00038497294537677337
CatBoost,GO:0009813,0.0005454721941114923
CatBoost,GO:0009931,0.0
CatBoost,GO:0005819,0.00012755602640940108
CatBoost,GO:0046933,0.0
CatBoost,GO:0005783,0.005812029897083692
CatBoost,GO:0005741,0.0015541342370956437
CatBoost,GO:0005737,0.02420558116430859
CatBoost,GO:0051082,0.0002158128580135392
CatBoost,GO:0038023,0.0
CatBoost,GO:0008483,0.0019382139523997635
CatBoost,GO:0005829,0.01617148262066847
CatBoost,GO:0009451,3.770573584256111e-05
CatBoost,GO:0009809,0.0007746267839206868
CatBoost,GO:0010197,0.0001823132415783932
CatBoost,GO:0000785,0.0002972012516489885
CatBoost,GO:0000287,0.004429930826730827
CatBoost,GO:0005739,0.006892291013411504
CatBoost,GO:0010224,0.0023443893376112706
CatBoost,GO:0009504,0.0005600659012581766
