model,config_id,config_index,parameters_json,parameters_sha256,status,error,n_folds,outer_test_used,selection_metric,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,mean_elapsed_s,sd_elapsed_s
Extra Trees,extra_trees_10,10,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":500}",da198a04e12b319809f13a27a5010f87b4f01c2ed508111a3300a4eb971783c7,ok,,15,False,mean_auroc,0.8487310652546006,0.014575729129960236,0.8051517280779217,0.02961926505738449,0.610303456155843,0.059238530114768984,0.7968780467557157,0.018997943952824295,0.704394962097254,0.018073621610686687,0.917695473251029,0.027458503399269835,0.15564426683725655,0.004919671157780326,0.424297444402085,0.007922785926714039
Extra Trees,extra_trees_11,11,"{""max_depth"":null,""max_features"":""sqrt"",""n_estimators"":500}",ad8f08bb0b6ee683fb748c48f947db7f6af2d726fc3dcc98a687a7efa2a2af6e,ok,,15,False,mean_auroc,0.8496878989750788,0.02083621787016512,0.8140621598601565,0.039061782039101704,0.6281243197203128,0.07812356407820341,0.7962844525489092,0.0229035387977723,0.71465868373064,0.018034677671955462,0.8997390344273815,0.03988294696450837,0.15460058177255848,0.008269408069611345,0.3771541112024958,0.00553056705718608
Extra Trees,extra_trees_12,12,"{""max_depth"":null,""max_features"":0.5,""n_estimators"":500}",dfa44aa18cb167a3af684759c076b89089d510e0ee7f1852203048d83996885f,ok,,15,False,mean_auroc,0.8511518914775394,0.02109115122080072,0.8126869502890414,0.040411631054629325,0.6253739005780825,0.08082326210925865,0.7947188818833608,0.026236508956652835,0.7189736398935646,0.023039639500626544,0.8891598915989161,0.04173435216790562,0.15239849194017865,0.00872002150159243,0.5932977222022601,0.014823512578951974
Gradient Boosting,gradient_boosting_01,1,"{""learning_rate"":0.03,""max_depth"":3,""n_estimators"":200}",dedb806b4a5a709472bcb615667271295db069e0700b0b886725130a5d06acf8,ok,,15,False,mean_auroc,0.8408946692040887,0.02011988635666361,0.791892383507531,0.036434573336935575,0.5837847670150624,0.07286914667387116,0.7920866147209722,0.01812349998958521,0.7323463044149392,0.02169506110627918,0.8639064538793536,0.0373784774029503,0.15496483471398584,0.009753830273175713,0.2957853028085083,0.013878985647731927
Gradient Boosting,gradient_boosting_02,2,"{""learning_rate"":0.05,""max_depth"":3,""n_estimators"":200}",4569f1740026f766c6015be124c643095046ebab9aa15d358c605d5632183086,ok,,15,False,mean_auroc,0.8369247123722422,0.021819176052740124,0.7834621422960352,0.03482059628696255,0.5669242845920702,0.0696411925739251,0.7897680821595511,0.020685850133600674,0.7364026223483184,0.027133540164186343,0.853297199638663,0.040721790720064974,0.1582242393575159,0.011623676624677788,0.29640219159579523,0.014909663709816912
Gradient Boosting,gradient_boosting_03,3,"{""learning_rate"":0.03,""max_depth"":4,""n_estimators"":200}",d6ebedff82de2f6c24e74a9f98511f24977cfa9e461ed5475a611b85813b5ad4,ok,,15,False,mean_auroc,0.8387753809843181,0.0223061010292416,0.784800696236385,0.04096687265631235,0.5696013924727701,0.0819337453126247,0.7915251970079803,0.018657662371521617,0.7314590455189137,0.023860985476179306,0.8638863796045367,0.03751174106835397,0.15582350775480022,0.010886325878799487,0.3890318137981618,0.0185065684178687
Gradient Boosting,gradient_boosting_04,4,"{""learning_rate"":0.05,""max_depth"":4,""n_estimators"":200}",2d60991c49c9bff57d2331d9e6568511c050d892aef21bae8de75a7fe2619307,ok,,15,False,mean_auroc,0.8381463809954102,0.022047952822748167,0.7853990283437216,0.038971836011432136,0.5707980566874434,0.07794367202286426,0.7879942984798529,0.021277626894302248,0.7326407478824062,0.022585936170430865,0.8532771253638463,0.03429236558818323,0.1586596740242477,0.01252981100569682,0.3878551332706896,0.01880669004829468
Gradient Boosting,gradient_boosting_05,5,"{""learning_rate"":0.03,""max_depth"":3,""n_estimators"":300}",21efb7a421d90bc81f25e12721e95720dcfcec9fc97b3ac49e9a29b7eb0756a8,ok,,15,False,mean_auroc,0.8390396907582445,0.020596544816355894,0.7882306170612909,0.03737575227295229,0.5764612341225821,0.07475150454590458,0.7890780562055769,0.021310743122085904,0.7323810042602257,0.020188738728533565,0.8565492321589883,0.040613435500924146,0.15614457021350842,0.010902578729215823,0.4468392720717626,0.020955334206266607
Gradient Boosting,gradient_boosting_06,6,"{""learning_rate"":0.05,""max_depth"":3,""n_estimators"":300}",01fa0f7c1c998c3dcae10bbc9621b0e44e7ad5e1a5a01f1aa1cba49acdbfc915,ok,,15,False,mean_auroc,0.8340505489099187,0.020888550881920702,0.7797609728654763,0.03554035458812071,0.5595219457309527,0.07108070917624142,0.7866315184066613,0.023456696656806577,0.7357344169431889,0.02675832876566443,0.8467730603231959,0.042736861017705234,0.16064485989037663,0.011828289958157498,0.44677940553907924,0.020481589215645742
Gradient Boosting,gradient_boosting_07,7,"{""learning_rate"":0.03,""max_depth"":4,""n_estimators"":300}",1a6792f55fcf3e1aaa0ddd8fe85bd3737c02e3cbc800f2f5aab15f495afc1035,ok,,15,False,mean_auroc,0.8377483137473148,0.02262916986849771,0.7851533250484048,0.0389629563903047,0.5703066500968095,0.0779259127806094,0.7881276463713698,0.023260650501195076,0.7336615331497517,0.026062191951503916,0.8532570510890295,0.045594636737199296,0.15798725884771525,0.01199947976769792,0.5847316918079741,0.026178248409608938
Gradient Boosting,gradient_boosting_08,8,"{""learning_rate"":0.05,""max_depth"":4,""n_estimators"":300}",f55d85dd7fbcc62ac4507fd5b5c58517b8622c1706b5f2bcf5f4352788932446,ok,,15,False,mean_auroc,0.8364069308776105,0.021801114113738237,0.7821125279178504,0.03876114379600167,0.5642250558357008,0.07752228759200334,0.7862854126472579,0.018041290260937926,0.7327874511385492,0.0205407419690177,0.8491920104386228,0.0329900458536366,0.16250833749892696,0.013467772555598272,0.5904664138681255,0.032628566171364795
Gradient Boosting,gradient_boosting_09,9,"{""learning_rate"":0.03,""max_depth"":3,""n_estimators"":500}",a214318751f9b090bb43d21b64cb6179664c19130100e04f717d6f526aee91fc,ok,,15,False,mean_auroc,0.8366174175977766,0.02194238223653339,0.7874020906933761,0.03674939244616728,0.5748041813867523,0.07349878489233456,0.7844866194067577,0.024266239655075288,0.7305402307857316,0.022585404843424858,0.8484291879955836,0.04410068171763981,0.15983258248278812,0.012893538758515906,0.742242822117017,0.036489928301522354
Gradient Boosting,gradient_boosting_10,10,"{""learning_rate"":0.05,""max_depth"":3,""n_estimators"":500}",0a2099d856937a1d65e74e799c5063cf6d14b0002660429dab2027ac456ba8cc,ok,,15,False,mean_auroc,0.8314230841406187,0.021192019099876773,0.7798756327916438,0.033960670173978205,0.5597512655832877,0.06792134034795641,0.7850117331602017,0.0259840314281733,0.7345472597115672,0.029026984445690813,0.844334035932952,0.041604856449121534,0.16698903062030115,0.01431100759710802,0.7411731971272578,0.033865341844993534
Gradient Boosting,gradient_boosting_11,11,"{""learning_rate"":0.03,""max_depth"":4,""n_estimators"":500}",587f634d0a2c17a5c3efe9331bff3242271393eeae20bf65e69d8c5a691b6c56,ok,,15,False,mean_auroc,0.8365127288341145,0.023267193017837067,0.7853285567509549,0.039298321299847803,0.5706571135019101,0.07859664259969561,0.7872301550074602,0.02404371930451644,0.7341192653736185,0.024532090307784422,0.8500250928435211,0.04291671844166763,0.16300498030086763,0.014276600894805574,0.9736694775909807,0.04861321637045548
Gradient Boosting,gradient_boosting_12,12,"{""learning_rate"":0.05,""max_depth"":4,""n_estimators"":500}",c1b610d460cd152beeaf2c10309a24486b64314f543058041c7c3618fb55add8,ok,,15,False,mean_auroc,0.8333047905071709,0.023259296228081733,0.7811178883316466,0.039315361663078786,0.5622357766632933,0.07863072332615757,0.7805928882974743,0.02116258629144949,0.7310881353501498,0.02503611430473898,0.8385927933353408,0.037410085029991165,0.17080154285205262,0.016655367327555435,0.970720702871525,0.04724922164019348
XGBoost,xgboost_01,1,"{""learning_rate"":0.03,""max_depth"":3,""n_estimators"":300}",21efb7a421d90bc81f25e12721e95720dcfcec9fc97b3ac49e9a29b7eb0756a8,ok,,15,False,mean_auroc,0.8400103493434592,0.018259761925520916,0.7871213561094643,0.033989713531744625,0.5742427122189284,0.06797942706348925,0.7921437652583438,0.01910744113255577,0.7319046521743888,0.020331495128149527,0.864719462009435,0.040899847375032564,0.1549344539642334,0.008893929756116914,0.05549262759353345,0.0026054851827466783
XGBoost,xgboost_02,2,"{""learning_rate"":0.05,""max_depth"":3,""n_estimators"":300}",01fa0f7c1c998c3dcae10bbc9621b0e44e7ad5e1a5a01f1aa1cba49acdbfc915,ok,,15,False,mean_auroc,0.8387110886008434,0.022891926370684604,0.7858652441274201,0.0374095135307819,0.5717304882548403,0.0748190270615638,0.7876689451048462,0.022538413577925298,0.7373012810287564,0.01887586654699484,0.8467931345980125,0.04485058498487238,0.15772955020268759,0.011651909654764753,0.05451301960662628,0.002474100383122102
XGBoost,xgboost_03,3,"{""learning_rate"":0.03,""max_depth"":5,""n_estimators"":300}",50edf41c308924618e3892ebd1802c3549f38a738d74e4d835472446751b1281,ok,,15,False,mean_auroc,0.8403396285013961,0.02084921598129424,0.7846841043510288,0.03482199834156074,0.5693682087020573,0.06964399668312146,0.7949047299784563,0.02084321232719973,0.7409029776602415,0.02135066048841288,0.8590083308240489,0.04319979076590216,0.15671697457631428,0.010860076642862166,0.09128514166998987,0.005161045291754068
XGBoost,xgboost_04,4,"{""learning_rate"":0.05,""max_depth"":5,""n_estimators"":300}",cc6cb9fc2c9538349437206b099518782c04a9427c50380dc17985649bf1ec14,ok,,15,False,mean_auroc,0.8381072131898565,0.0230499328142911,0.7836094894596983,0.03704483406707608,0.5672189789193969,0.07408966813415216,0.788306387672794,0.02020919723412017,0.7430369552932345,0.027236136532339708,0.8410318177255848,0.03683938949635875,0.1610743353764216,0.013669402418969323,0.08653859720410158,0.004703076549986272
